category,data_period,total_children,single_men,single_women,total_single_adults,families_with_children,total_families,total_adults_in_families
number of unduplicated persons - DYCD-administered facilities,202009,36,144,131,275,11,11,8
number of unduplicated persons - DYCD-administered crisis shelters,202009,22,69,67,136,6,6,5
number of unduplicated persons - DYCD-administered drop-in centers,202009,4,45,33,78,0,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202009,10,31,20,51,5,5,3
average monthly utilization rates - DYCD-administered facilities,202009,,0.74,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202009,,0.7,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202009,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202009,,0.76,,,,,
,202009,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202009,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202009,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202009,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202009,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202009,,,,,,,
,202009,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202009,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202009,,23,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202009,,182,,,,,
,202009,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202010,47,150,147,297,8,8,7
number of unduplicated persons - DYCD-administered crisis shelters,202010,28,72,79,151,6,6,6
number of unduplicated persons - DYCD-administered drop-in centers,202010,7,44,37,81,0,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202010,12,34,31,68,2,2,1
average monthly utilization rates - DYCD-administered facilities,202010,,0.74,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202010,,0.7,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202010,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202010,,0.76,,,,,
,202010,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202010,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202010,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202010,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202010,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202010,,,,,,,
,202010,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202010,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202010,,22,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202010,,136,,,,,
,202010,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202011,34,131,98,229,5,5,5
number of unduplicated persons - DYCD-administered crisis shelters,202011,18,68,59,127,2,2,2
number of unduplicated persons - DYCD-administered drop-in centers,202011,10,36,14,50,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202011,6,27,25,52,3,3,3
average monthly utilization rates - DYCD-administered facilities,202011,,0.77,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202011,,0.71,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202011,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202011,,0.8,,,,,
,202011,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202011,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202011,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202011,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202011,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202011,,,,,,,
,202011,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202011,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202011,,27,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202011,,123,,,,,
,202011,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202012,48,135,113,248,9,9,7
number of unduplicated persons - DYCD-administered crisis shelters,202012,33,64,63,127,6,6,5
number of unduplicated persons - DYCD-administered drop-in centers,202012,7,46,29,75,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202012,8,25,21,46,3,3,2
average monthly utilization rates - DYCD-administered facilities *,202012,,0.77,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202012,,0.72,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202012,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202012,,0.8,,,,,
,202012,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202012,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202012,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202012,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202012,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202012,,,,,,,
,202012,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202012,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202012,,25,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202012,,129,,,,,
,202012,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202101,25,123,108,231,1,1,1
number of unduplicated persons - DYCD-administered crisis shelters,202101,13,56,57,113,1,1,1
number of unduplicated persons - DYCD-administered drop-in centers,202101,7,36,25,61,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202101,5,31,26,57,0,0,0
average monthly utilization rates - DYCD-administered facilities *,202101,,0.74,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202101,,0.66,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202101,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202101,,0.78,,,,,
,202101,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202101,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202101,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202101,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202101,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202101,,,,,,,
,202101,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202101,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202101,,28,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202101,,142,,,,,
,202101,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202102,28,137,112,249,4,4,4
number of unduplicated persons - DYCD-administered crisis shelters,202102,13,56,56,112,5,5,3
number of unduplicated persons - DYCD-administered drop-in centers,202102,8,55,30,85,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202102,7,26,26,52,3,3,3
average monthly utilization rates - DYCD-administered facilities *,202102,,0.74,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202102,,0.65,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202102,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202102,,0.78,,,,,
,202102,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202102,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202102,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202102,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202102,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202102,,,,,,,
,202102,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202102,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202102,,25,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202102,,108,,,,,
,202102,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202103,46,139,112,261,9,9,8
number of unduplicated persons - DYCD-administered crisis shelters,202103,29,62,61,123,9,9,8
number of unduplicated persons - DYCD-administered drop-in centers,202103,12,55,26,79,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202103,6,23,26,59,0,0,0
average monthly utilization rates - DYCD-administered facilities *,202103,,0.74,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202103,,0.67,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202103,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202103,,0.78,,,,,
,202103,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202103,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202103,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202103,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202103,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202103,,,,,,,
,202103,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202103,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202103,,29,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202103,,196,,,,,
,202103,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202104,51,125,136,261,7,7,5
number of unduplicated persons - DYCD-administered crisis shelters,202104,29,50,80,130,7,7,5
number of unduplicated persons - DYCD-administered drop-in centers,202104,16,53,36,89,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202104,6,22,20,42,0,0,0
average monthly utilization rates - DYCD-administered facilities *,202104,,0.73,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202104,,0.71,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202104,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202104,,0.75,,,,,
,202104,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202104,,,,,,,
,202104,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202104,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202104,,32,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202104,,220,,,,,
,202104,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202104,43,148,129,277,5,5,5
number of unduplicated persons - DYCD-administered crisis shelters,202104,23,61,63,124,4,4,4
number of unduplicated persons - DYCD-administered drop-in centers,202104,16,64,41,105,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202104,4,23,25,48,1,1,1
average monthly utilization rates - DYCD-administered facilities *,202104,,0.73,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202104,,0.74,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202104,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202104,,0.72,,,,,
,202104,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202104,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202104,,,,,,,
,202104,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202104,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202104,,31,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202104,,214,,,,,
,202104,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202106,41,120,111,231,9,9,7
number of unduplicated persons - DYCD-administered crisis shelters,202106,19,57,52,109,8,8,6
number of unduplicated persons - DYCD-administered drop-in centers,202106,12,43,33,76,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202106,10,20,26,46,1,1,1
average monthly utilization rates - DYCD-administered facilities *,202106,,0.72,,,,,
average monthly utilization rates - DYCD-administered crisis shelters*,202106,,0.7,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202106,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities *,202106,,0.73,,,,,
,202106,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202106,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202106,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202106,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202106,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202106,,,,,,,
,202106,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202106,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202106,,32,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202106,,169,,,,,
,202106,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202107,46,176,141,317,11,11,10
number of unduplicated persons - DYCD-administered crisis shelters,202107,23,89,78,167,7,7,7
number of unduplicated persons - DYCD-administered drop-in centers,202107,10,61,40,101,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202107,13,26,23,49,4,4,3
average monthly utilization rates - DYCD-administered facilities,202107,,0.72,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202107,,0.71,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202107,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202107,,0.72,,,,,
,202107,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202107,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202107,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202107,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202107,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202107,,,,,,,
,202107,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202107,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202107,,33,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202107,,159,,,,,
,202107,,,,,,,
number of unduplicated persons - DYCD-administered facilities,202108,46,176,141,317,11,11,10
number of unduplicated persons - DYCD-administered crisis shelters,202108,21,51,63,114,5,5,4
number of unduplicated persons - DYCD-administered drop-in centers,202108,9,76,54,130,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,202108,6,31,14,45,1,1,1
average monthly utilization rates - DYCD-administered facilities,202108,,0.71,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,202108,,0.72,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,202108,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,202108,,0.7,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,202108,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,202108,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,202108,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,202108,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,202108,,,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",202108,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,202108,,31,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,202108,,194,,,,,
"* “bed utilization does not reflect beds that are offline due to COVID 19""",,,,,,,,
"* “bed utilization does not reflect beds that are offline due to COVID 19""",,,,,,,,
OLD Language,,,,,,,,
"* “bed utilization does not reflect beds that are offline due to COVID 19""",,,,,,,,
New Language,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
*bed utilization does  not reflect beds being used for social distancing due to COVID 19,,,,,,,,
