category,data_period,total_children,single_men,single_women,total_single_adults,families_with_children,total_families,total_adults_in_families
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201903,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201903,,,,,,,
Average Length of Stay: DYCD -administered Temporary Independent Living (TIL) facility,201903,,184.8,,,,,
number of unduplicated persons - DYCD-administered crisis shelters,201903,16,54,62,116,8,8,8
average monthly utilization rates - DYCD-administered drop-in centers,201903,,,,,,,
number of unduplicated persons - DYCD-administered drop-in centers,201903,14,73,44,117,,,
average monthly utilization rates - DYCD-administered facilities,201903,,0.92,,,,,
Average Length of Stay: DYCD -administered crisis facility,201903,,18.8,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201903,,,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201903,,0.93,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201903,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201903,,,,,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201903,5,31,33,64,2,2,2
average monthly utilization rates - DYCD-administered transitional independent living facilities,201903,,0.91,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201904,,0.9,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201904,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201904,,,,,,,
number of individuals who are on wait-list - DYCD-administered facilities,201904,,,,,,,
Average Length of Stay: DYCD -administered Temporary Independent Living (TIL) facility,201904,,147,,,,,
number of unduplicated persons - DYCD-administered crisis shelters,201904,23,38,75,113,9,9,9
average monthly utilization rates - DYCD-administered facilities,201904,,0.91,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201904,,0.86,,,,,
number of unduplicated persons - DYCD-administered facilities,201904,59,145,148,293,16,16,16
number of unduplicated persons - DYCD-administered drop-in centers,201904,24,83,49,132,,,
average monthly utilization rates - DYCD-administered drop-in centers,201904,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201904,,,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201904,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201904,,18.5,,,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201904,12,24,24,48,7,7,7
number of individuals who are on wait-lists for DYCD-administered facilities,201904,,,,,,,
number of unduplicated persons - DYCD-administered facilities,201905,42,178,129,307,13,13,11
number of unduplicated persons - DYCD-administered crisis shelters,201905,29,72,58,130,9,9,7
number of individuals who are on wait-lists for DYCD-administered facilities,201905,,,,,,,
,201905,,,,,,,
,201905,,,,,,,
number of unduplicated persons - DYCD-administered drop-in centers,201905,7,87,48,135,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201905,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201905,,0.89,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201905,,,,,,,
Average Length of Stay: DYCD -administered crisis facility,201905,,18,,,,,
average monthly utilization rates - DYCD-administered crisis shelters,201905,,0.92,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201905,,,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,201905,,211,,,,,
"Average Length of Stay: DHS -administered facility (by type, excluding drop-in and faith-based)",201905,,,,,,,
number of individuals who are on wait-list - DYCD-administered crisis shelters,201905,,,,,,,
number of unduplicated persons - DYCD-administered transitional independent living facilities,201905,6,19,23,42,4,4,4
number of individuals who are on wait-list - DYCD-administered facilities,201905,,,,,,,
average monthly utilization rates - DYCD-administered facilities,201905,,0.91,,,,,
average monthly utilization rates - DYCD-administered drop-in centers,201906,,,,,,,
number of individuals who are on wait-lists for DYCD-administered facilities,201906,,,,,,,
number of unduplicated persons - DYCD-administered crisis shelters,201906,18,64,53,117,3,3,3
average monthly utilization rates - DYCD-administered crisis shelters,201906,,0.88,,,,,
Average Length of Stay: DYCD - administered Transitional Independent Living Program (TIL) facility,201906,,169,,,,,
number of individuals who are on wait-list - DYCD-administered drop-in centers,201906,,,,,,,
number of individuals who are on wait-list - DYCD-administered transitional independent living facilities,201906,,,,,,,
number of unduplicated persons - DYCD-administered drop-in centers,201906,8,52,59,111,,,
number of individuals who are on wait-list - DYCD-administered facilities,201906,,,,,,,
average monthly utilization rates - DYCD-administered transitional independent living facilities,201906,,0.89,,,,,
,201906,,,,,,,
,201906,,,,,,,
