category,subcategory,work_type,fy15,fy16,fy17,fy18,fy19,total
Educational Enhancements,A. Educational Enhancements,6. Library Upgrade,0.46,0.76,0.01,0.03,0.00,1.28
Educational Enhancements,A. Educational Enhancements,7. Charter/Innovative Schools,0.00,0.00,0.00,0.00,0.00,0.00
Educational Enhancements,A. Educational Enhancements,"8. Innovative, Diverse, Equitable, Accessible Spaces",0.00,0.00,50.00,0.00,0.00,50.00
Safety and Security,A. Safety and Security,1. Safety Systems,0.25,0.46,7.80,5.17,5.10,18.78
Safety and Security,A. Safety and Security,1a. School Safety,6.85,48.00,48.00,48.00,49.15,200.00
Safety and Security,A. Safety and Security,2. Emergency Lighting and Fire Safety Retrofits,4.60,7.00,8.20,3.20,2.00,25.00
Safety and Security,A. Safety and Security,3. Code Compliance,1.31,12.00,26.93,12.00,22.76,75.00
Ancillary Facilities,A. Administrative Support,1. Administrative Support,0.61,0.69,27.30,17.90,0.00,46.50
"Emergency, Unspecified and Misc.",A. Research and Development,1. Building Condition Surveys,13.70,21.41,21.63,21.63,21.63,100.00
"Emergency, Unspecified and Misc.",C. DOE Administration,1. DOE Administration,5.10,4.98,4.98,4.98,4.98,25.00
"Emergency, Unspecified and Misc.",D. Wrap-Up Insurance,1. Wrap-Up Insurance,175.27,257.00,155.91,155.91,155.91,900.00
"Emergency, Unspecified and Misc.",E. Emergency Unspecified,1. Emergency Unspecified,73.80,100.01,100.00,100.00,100.00,473.81
"Emergency, Unspecified and Misc.",E. Emergency Unspecified,2. Emergency Stabilization,26.63,10.00,7.09,7.09,7.09,57.91
"Emergency, Unspecified and Misc.",E. Emergency Unspecified,3. Emergency Response,0.00,0.00,0.00,0.00,0.00,0.00
"Emergency, Unspecified and Misc.",F. Prior Plan Completion Cost,1. Prior Plan Completion Cost,283.41,470.36,200.00,100.00,0.00,1053.77
"Emergency, Unspecified and Misc.",G. Resolution A,1. City Council,57.89,427.13,100.00,0.00,0.00,585.02
"Emergency, Unspecified and Misc.",G. Resolution A,2. Borough President,27.01,192.73,0.33,0.00,0.00,220.06
"Emergency, Unspecified and Misc.",H. Mayor/Council Program,1. Mayor/Council Program,0.34,12.15,1.81,0.12,0.00,14.42
,,,1813.90,4570.66,4635.65,4514.38,3739.78,19274.37
