objectid,radefect,radefectlocation,failure,impacttarget,consequence,riskrating,inspectionglobalid,globalid,createddate,failureimpact,workorderglobalid
1411889,Dead Wood,Branches,2,2,2,6,CE69A6C8-A779-42C5-8CB2-103C68FA99D0,AE29FA36-F7CD-4463-8581-EA864567CAD5,2020-04-28 13:36:00.0000000,4,
1141204,Dead Wood,Branches,1,2,2,5,839F8494-1942-4C5A-A563-6ADFEAA84891,1838C2D5-3CCA-4191-BF52-B726E44ADD00,2020-03-04 18:23:00.0000000,3,
1471880,Dead Wood,Branches,1,1,2,4,6A9B51A4-7652-4B6F-8214-739646208976,4467675C-1ACF-4519-9735-14B584A46B32,2020-05-08 14:14:00.0000000,2,
1958291,No Visible Defect,Entire Tree,1,1,1,3,B16FA14A-79DB-4E6A-A916-E2DCA8D1E94E,99F138F4-6F7C-46A8-9340-500D56C87384,2020-07-22 15:33:35.0000000,2,
465565,No Visible Defect,Entire Tree,1,1,1,3,99AA9ECF-E8E8-4EA1-9EBD-6EAECFDE23CD,91DDDF0C-7E91-4967-BAF7-A1F0747F960D,2019-06-03 12:05:52.0000000,2,
1958311,Dead Wood,Branches,2,1,1,4,F09D18F2-C6B8-4846-B376-721A34AB0029,F506EEAF-1007-4B73-9127-17F5D316929B,2020-07-22 15:38:03.0000000,3,
1973442,Dead Wood,Branches,2,1,1,4,09A60714-4D54-475E-BAD1-6D7A75EEB356,D02A59FE-3A49-4EA8-93B1-AC769FD3BDD7,2020-07-23 12:04:38.0000000,3,
1246989,Dead Wood,Branches,3,2,3,8,1DA72421-F2FB-49D2-B439-D88240A640B9,36B1677D-8E09-48E3-8CAD-C62CB4C5511C,2020-03-19 16:14:20.0000000,5,795D6E27-B4B5-4D75-B2B5-3B1C50F1DF02
445405,Dead Wood,Branches,4,3,2,9,B86CE41E-D267-4BAB-90A0-5A949ED6427D,F5F4B340-89F6-47A7-9FE8-8B7BF2AD644F,2019-10-17 16:43:00.0000000,7,242B984D-B3CA-45B2-A2BE-03D37C9C225E
1090204,No Visible Defect,Entire Tree,1,1,1,3,9B271092-70F3-4ABF-80F3-8B44FADDC086,0346B03B-AF65-42CB-96FD-B6018C69A87F,2020-02-25 13:35:00.0000000,2,
698477,Dead Wood,Branches,4,1,3,8,4594B313-0EA2-4651-90D0-A25E4B31B298,F92ECCB9-5232-480B-9644-9F2E858F0361,2019-11-25 18:19:00.0000000,5,C980EA3F-45B3-4D39-B933-C5FA7718E964
1973362,No Visible Defect,Entire Tree,1,1,1,3,F6B129CC-F9E9-4E6A-8BF3-8AA3705941AA,9AC19E30-F69E-4D81-8041-C9AD6A8970E9,2020-07-23 12:32:17.0000000,2,
1973425,Dead Wood,Branches,2,1,1,4,4F41BF37-F6CA-4F16-91E6-902495CB6CC3,DDD6BB7D-3019-4EAE-A686-EFBAE3228ABF,2020-07-23 12:14:59.0000000,3,
1958320,Dead Wood,Branches,2,1,2,5,19FBFF31-90C1-4F3A-BBED-19DD04FAF6BE,C51C6AFE-A5B7-48DC-B41B-CB63FC389420,2020-07-22 15:23:27.0000000,3,
1564066,Dead Wood,Branches,2,2,2,6,5B97C4B2-024A-4D8E-AA23-491E238BE19A,018D47B9-EA42-4FA6-A364-CC7C3EDB1ECC,2020-05-27 14:16:01.0000000,4,
863644,Dead Wood,Stem,3,3,4,10,189B2008-C78E-48C1-9CB9-102A5CF683FE,E55FE8C3-6C95-4820-9508-66483FE8387E,2020-01-06 14:35:00.0000000,6,
986529,Dead Wood,Branches,3,1,4,8,FBEEB4A8-10CE-4280-B872-BC1934E03CF2,01A7DA19-7ED8-4E80-B9D1-B7AE2AFCC474,2020-01-29 15:37:00.0000000,4,64C806A3-D24F-4848-A5AA-C264744D960C
1952140,Dead Wood,Branches,3,1,2,6,03629DEC-77A0-4A25-BD21-E3E10411CB8D,104A2277-113B-4A6C-ACA1-F8369DC3D64E,2020-07-22 13:02:18.0000000,4,
426058,Decay,Branches,1,2,2,5,541DC58A-71C7-41ED-A3B5-41D298121A53,21B5EEC7-523A-4D7C-8A62-C35ED186DA2B,2019-10-16 12:59:00.0000000,3,446920AB-0E6E-4A16-B57D-D8A84F37A5C4
2907556,No Visible Defect,Entire Tree,1,1,1,3,D40020FB-7AE5-404B-B4C7-41949B7A1642,53487A06-AF62-4E72-8FCE-AD96275B1035,2020-11-04 21:03:31.0000000,2,
1069521,Decay,Branches,3,4,2,9,12ED6669-C822-4D64-B4D0-57DDB6118D7A,723D7FE5-11E3-4992-9B4C-444CCC62172A,2020-02-19 16:47:00.0000000,7,
1098990,Dead Wood,Stem,3,4,2,9,5A368CE2-4303-42AA-BDBB-B294523A2F84,30B8B240-CBFA-4777-837A-5ED064387739,2020-02-26 14:14:00.0000000,7,AFA74018-FD96-4B9B-8556-E117B5723EF3
672267,Dead Wood,Branches,2,2,2,6,73EFAE42-2786-43D5-B19C-F94000A66EE6,106EF7AB-EA44-4B73-A412-416777F0764E,2019-11-18 18:48:00.0000000,4,
966473,Decay,Branches,3,2,3,8,65473DA8-1320-43E1-ACF2-9D775F13445F,F4C61D5E-1963-4BD8-97D4-2E40F03AAC1E,2020-01-24 18:34:00.0000000,5,
773578,Decay,Stem,2,4,3,9,E222E769-5278-440A-A48F-31B7E25207F4,38ABCB3C-036E-40BF-9016-C4941EED48DC,2019-12-13 20:01:00.0000000,6,
1011402,Dead Wood,Branches,3,1,4,8,D4459DEF-1873-4FA9-92D1-EA8BF32E5F8D,1B2493ED-88C2-4D58-8C0D-A4CD6D7EDA1B,2020-02-04 16:23:00.0000000,4,
2907771,Dead Wood,Branches,2,2,1,5,A67FB1A7-2C33-4AB4-8E0D-D31AFD93247A,CDFD1020-A409-490D-BCE0-0F5939665A4C,2020-11-04 21:07:15.0000000,4,
886963,Decay,Stem,1,3,2,6,E7AC576E-ADAE-4742-BED5-6831DCFAF597,2C31AE4D-7743-4B85-8373-F399BC57D75C,2020-01-09 16:52:00.0000000,4,
180086,Cracks,Stem,1,1,3,5,9CC45F65-2FE1-459F-B2E2-EB4A67965C98,6722E106-469D-4BDA-8880-D55EE80E1A22,2018-03-05 15:21:04.0000000,2,
1069490,Decay,Root Flare,2,4,3,9,F4FB2E13-E515-4AA8-9252-A94BD9FEFCD0,8539D6B6-F9DE-45F0-8043-1C3209991741,2020-02-19 15:58:00.0000000,6,
1028746,Decay,Branches,3,4,2,9,65A14BA3-5EE0-40DF-88B5-0F9D3EDE1FC0,5E75452E-0FD6-4495-98B1-34370E01BB56,2020-02-10 16:09:00.0000000,7,
1079586,Dead Wood,Branches,3,1,3,7,200A9992-C6AB-48DD-83A6-B997A430658E,54B35DF1-704B-4C86-9E24-63C83B1FF0A6,2020-02-20 19:18:00.0000000,4,
1633708,Root Problems,Roots,2,2,2,6,910149FB-0881-4F6A-B265-5636C9492496,0C4A2116-0E4E-4B7A-AD22-B4A4446FF142,2020-06-05 14:41:00.0000000,4,0D942EBB-514C-4FC4-B698-93F8C5253ABD
1032516,Decay,Branches,2,4,1,7,26A03214-CEDE-4BD9-84BB-F1A443C75F69,B0A79A23-C049-4B57-9333-5F86386E3676,2020-02-11 14:14:00.0000000,6,
986983,Decay,Stem,2,3,4,9,28E2CE07-801F-473C-8A68-6A6099F0A2F7,71872AB9-8021-490D-9B30-67074A04887A,2020-01-29 16:24:00.0000000,5,13804295-5265-4E46-B9DA-627E20E87A2D
406452,Decay,Stem,2,3,3,8,31823145-67AC-4E4C-BC3B-2E109DA08FE5,9145693A-AC5A-4501-89B3-0B9052DD302D,2019-02-28 07:22:14.0000000,5,F7F03646-026C-4C34-AD4C-3EC93C013497
1011374,Decay,Stem,1,3,2,6,6542334C-930A-4B51-88AA-1772045456C2,3192AA7A-3D13-4FD8-9C45-83A45BACE13E,2020-02-04 15:54:00.0000000,4,
2907786,Dead Wood,Branches,2,2,1,5,66E6FABD-8940-4C2F-A3A6-9389947F7149,BA9FADF7-B6F6-4B4A-83D3-26808E3B55C1,2020-11-04 20:43:40.0000000,4,
406455,Decay,Stem,2,2,3,7,31823145-67AC-4E4C-BC3B-2E109DA08FE5,B1BEC3B2-0223-47AE-8C31-69A1FC604F48,2019-02-28 07:53:07.0000000,4,
43725,Cracks,Stem,1,4,1,6,6F0A83E0-C468-4483-B23F-099AD155FF7D,8CD88547-AE03-408F-BD41-76DAF335A39B,2017-02-28 12:11:22.0000000,5,
882358,Root Problems,Root Flare,2,4,2,8,7F1CEA44-FFB9-42C6-A5FB-5261F409D4EA,0CE3879D-166B-4E9D-ADED-D3A4ADBCC405,2020-01-08 19:26:00.0000000,6,
1076395,Decay,Stem,1,4,3,8,671588DE-A6BE-46B3-9B71-221B3639387C,395A3951-4A37-469E-A50F-6BBF508EAC09,2020-02-20 13:48:00.0000000,5,
1779983,Dead Wood,Stem,3,2,3,8,444C6992-8E70-48A6-8324-09CD2B1A8846,7F1192B8-410D-49FD-9C90-7D3CC7508FFC,2020-06-29 14:51:00.0000000,5,03875C52-0EF8-4291-852A-6773BDA8B971
1002627,Decay,Stem,1,2,4,7,7F39ED93-749F-4583-9B0F-28EE91911CD1,3516E191-78D1-4286-9406-F2A3DB6B6778,2020-01-31 19:09:00.0000000,3,
915777,Dead Wood,Branches,3,1,2,6,9918CDD3-A441-4EA4-97AA-3A62894B5B26,D0C035B9-10C1-4E9A-A4C5-3054C6277995,2020-01-14 15:02:00.0000000,4,
1076441,Decay,Stem,2,4,3,9,930BB747-2608-4061-B184-E2B26251A0B4,D20D994F-4159-41BF-A63D-D194ACF9DFDA,2020-02-20 15:32:00.0000000,6,
671072,Dead Wood,Branches,2,2,2,6,73EFAE42-2786-43D5-B19C-F94000A66EE6,906DBF21-FDA0-4EDF-A0D4-6FB46D091F18,2019-11-18 18:47:00.0000000,4,
769715,Decay,Stem,2,3,4,9,FA8B2BD5-9FD6-4505-B882-1030ECE9C377,D71E43AD-09C1-4719-A1FE-649979312936,2019-12-12 20:29:00.0000000,5,
1072136,Decay,Root Flare,3,4,3,10,9145830A-A9F2-49D5-8933-A3B778160123,ECC17CCB-794C-4A0D-BC13-4E314FDEE25A,2020-02-19 18:54:00.0000000,7,5EE9F85F-0715-4ADA-AB4D-943B17C7D969
883592,Decay,Stem,2,2,4,8,48DA6DAF-64F3-4E08-ADBD-DCABDE1D3A81,03079414-94BE-49F9-89B0-52AE86984CF5,2020-01-08 20:16:00.0000000,4,87191616-48FD-441A-841F-F1EB0CC095AA
1011372,Dead Wood,Branches,3,2,2,7,6542334C-930A-4B51-88AA-1772045456C2,3696D4CE-9B71-4B42-B7FA-0948BDE44747,2020-02-04 15:54:00.0000000,5,
1028690,Decay,Root Flare,3,4,2,9,4B4AE610-5D25-4B8D-81DE-E3680C1F93C7,57369F76-87D8-4826-A185-CD54702156AD,2020-02-10 15:18:00.0000000,7,A1ADBBFA-C4FB-438D-BE97-A685C7BA06A2
886552,Dead Wood,Branches,3,4,2,9,CF726185-2BA5-4430-AF5F-9D297923FF23,AD17EF45-90FB-46F5-A976-CF01C84BF465,2020-01-09 15:53:00.0000000,7,D4C67DA2-5902-4E96-91DE-A5631006A155
1032517,Poor Tree Architecture,Stem,2,4,2,8,26A03214-CEDE-4BD9-84BB-F1A443C75F69,053449FF-42F2-4211-BBAF-8097D0A8C9CA,2020-02-11 14:14:00.0000000,6,F9FF85FB-513B-4065-8035-F5D4E4DA9EE9
1078425,Decay,Roots,3,4,2,9,200A9992-C6AB-48DD-83A6-B997A430658E,8F1DC5BE-39DE-4F31-905F-1C76A85269B0,2020-02-20 19:19:00.0000000,7,2D07C1B5-D470-46FF-871B-4808EC359AFA
2540010,Dead Wood,Branches,3,3,2,8,DFA145C6-CEC3-4209-B47F-2F84D39C4A0E,475E0686-BFD9-499E-8E2E-82A6592FC88D,2020-08-31 13:52:00.0000000,6,
1069520,Decay,Stem,2,4,3,9,12ED6669-C822-4D64-B4D0-57DDB6118D7A,31A2A06C-4AF3-4DD7-9AAD-E205F586502C,2020-02-19 16:47:00.0000000,6,C16AB65F-AAF9-49CC-BCE3-E0840895BE33
773577,Decay,Stem,2,4,3,9,E222E769-5278-440A-A48F-31B7E25207F4,9ED46748-846C-425F-ADD8-1BF9EE078D22,2019-12-13 19:56:00.0000000,6,930B6145-52C5-4A1F-BCE4-CF6EE9336C6A
1069466,Decay,Stem,1,4,3,8,39746FAE-4A16-42E2-8083-5779DF8A8A36,29FA6FE3-2C96-4E2C-848D-8203BB5EC089,2020-02-19 15:18:00.0000000,5,
406456,Dead Wood,Branches,2,2,3,7,31823145-67AC-4E4C-BC3B-2E109DA08FE5,16469B67-E968-4CE7-8495-8E99E89022F9,2019-02-28 07:52:42.0000000,4,
421922,Dead Wood,Branches,3,1,3,7,BCC463AC-B91D-434A-BA80-6FE01F5D4C3C,8BD58EB1-77D4-4D77-A9CA-68A22747B6C3,2019-04-11 13:06:56.0000000,4,
769335,Decay,Stem,3,4,3,10,5FBD1BCA-E448-4CFC-A9DF-9F782548E805,F7833C04-49B1-4F2A-B00F-96DDE518A569,2019-12-12 19:53:00.0000000,7,BDF1115A-DF1E-46C6-926E-AA41787251C8
2907512,No Visible Defect,Entire Tree,1,1,2,4,5976D1B0-1A67-4EF2-91DE-24DB881CB27C,0CF5622B-D466-4983-A6F9-590DB39A589C,2020-11-04 20:29:06.0000000,2,
998603,Decay,Root Flare,2,4,3,9,9BA4119E-A797-4D12-A7CC-3D8CF36E921D,CAD70A6E-07E8-46DA-860B-37BA0605A9A2,2020-01-30 19:53:00.0000000,6,F9FF471C-8206-4BF4-AD70-D7CE0DF82CE1
777699,Decay,Stem,2,3,3,8,85F49287-05A9-4DAD-987C-BD9277247068,D58A23CB-0EC4-4F09-9D88-823EE2D4F202,2019-12-16 15:45:00.0000000,5,
2286397,Root Problems,Roots,4,3,2,9,05327E75-B51E-47F5-BBC1-62CEB325AD13,F96A04E3-CBE8-4801-A54E-5F82F929361E,2020-08-12 14:02:16.0000000,7,
